name,region
인천부마초등학교,인천광역시
남악초등학교,전라남도
서울옥정초등학교,서울특별시
대청초등학교,인천광역시
해평초등학교,경상북도
오성초등학교,경기도
옥대초등학교,경상북도
수일초등학교,경기도
대구교육대학교안동부설초등학교,경상북도
서울봉은초등학교,서울특별시
인천병방초등학교,인천광역시
장기초등학교,경상북도
신림초등학교,전북특별자치도
성남수정초등학교,경기도
북삼초등학교,경상북도
하백초등학교,광주광역시
대구장성초등학교,대구광역시
인천도담초등학교,인천광역시
용지초등학교,경상남도
의정부효자초등학교,경기도
용암초등학교,강원특별자치도
자은초등학교,경상남도
대구성동초등학교,대구광역시
임천초등학교,충청남도
인천공촌초등학교,인천광역시
순천신흥초등학교,전라남도
임원초등학교,강원특별자치도
청룡초등학교장고분교장,충청남도
내수초등학교,충청북도
합성초등학교,경상남도
홍익대학교사범대학부속초등학교,서울특별시
양평동초등학교,경기도
부석초등학교,충청남도
원남초등학교,충청북도
서울난곡초등학교,서울특별시
나산초등학교,전라남도
노은초등학교,충청북도
유천초등학교,경상북도
진주초등학교,강원특별자치도
동내초등학교,강원특별자치도
성주초등학교,경상남도
탄부초등학교,충청북도
대구화남초등학교,대구광역시
초락초등학교,충청남도
상봉초등학교,충청북도
몽탄초등학교,전라남도
명호초등학교,부산광역시
효림초등학교,부산광역시
삼동초등학교,경상남도
포항원동초등학교,경상북도
방림초등학교,강원특별자치도
율정초등학교,경기도
풍기북부초등학교,경상북도
구천초등학교,경상북도
대암초등학교,경상남도
봉곡초등학교,경상남도
상평초등학교오색분교장,강원특별자치도
현산초등학교현산남분교장,전라남도
수북초등학교,전라남도
호반초등학교,강원특별자치도
동삭초등학교,경기도
지촌초등학교지암분교장,강원특별자치도
학봉초등학교,충청남도
서울답십리초등학교,서울특별시
송석초등학교,충청남도
용이초등학교,경기도
백운초등학교,부산광역시
인동초등학교,경상북도
다문초등학교,경기도
서울역삼초등학교,서울특별시
광주도평초등학교,경기도
문흥초등학교,광주광역시
인천부흥초등학교,인천광역시
삼기초등학교,전북특별자치도
공검초등학교,경상북도
서울방학초등학교,서울특별시
서평초등학교,경기도
검단초등학교,경기도
서울배봉초등학교,서울특별시
서울창일초등학교,서울특별시
서울동구로초등학교,서울특별시
탑동초등학교,경기도
문장초등학교,경상북도
대구논공초등학교,대구광역시
칠보초등학교,경기도
이리동남초등학교,전북특별자치도
청호초등학교,강원특별자치도
동수원초등학교,경기도
신창초등학교,제주특별자치도
철원초등학교,강원특별자치도
일월초등학교,경기도
서울남사초등학교,서울특별시
김천신일초등학교,경상북도
효자초등학교,경상북도
칠보초등학교,전북특별자치도
서울성산초등학교,서울특별시
구만초등학교,경상남도
산마루초등학교,경기도
서울미성초등학교,서울특별시
오산초등학교,충청남도
내토초등학교,충청북도
대감초등학교,경상남도
대구반송초등학교,대구광역시
향산초등학교,경기도
목포대성초등학교,전라남도
서곡초등학교,강원특별자치도
무녀도초등학교,전북특별자치도
불정초등학교,경기도
군포양정초등학교,경기도
대미초등학교,충청북도
월천초등학교,경상남도
오송초등학교,충청북도
대불초등학교,전라남도
현매초등학교,경기도
노화북초등학교,전라남도
범계초등학교,경기도
서울수유초등학교,서울특별시
농암초등학교청화분교장,경상북도
양양초등학교,강원특별자치도
학다리중앙초등학교,전라남도
회진초등학교,전라남도
서울도신초등학교,서울특별시
초강초등학교,충청북도
토월초등학교,경기도
동주초등학교,부산광역시
부산진초등학교,부산광역시
성호초등학교,경기도
장성초등학교,강원특별자치도
남한산초등학교,경기도
교암초등학교,전북특별자치도
태전초등학교,경기도
서울은천초등학교,서울특별시
정산초등학교,충청남도
인천단봉초등학교,인천광역시
대전관평초등학교,대전광역시
판동초등학교,충청북도
감일초등학교,경기도
석천초등학교,경기도
입면초등학교,전라남도
서울세륜초등학교,서울특별시
군서초등학교,전라남도
전주초포초등학교,전북특별자치도
서울수송초등학교,서울특별시
무등초등학교,광주광역시
시종초등학교,전라남도
관곡초등학교,경기도
남성현초등학교,경상북도
효덕초등학교,경기도
덕암초등학교,충청남도
고령초등학교,경상북도
광주산수초등학교,광주광역시
대아초등학교,경기도
주월초등학교,광주광역시
유림초등학교,경상북도
남양초등학교,경기도
서경초등학교,충청북도
달전초등학교,경상북도
서촌초등학교,경기도
외도초등학교,제주특별자치도
삼향동초등학교,전라남도
안골포초등학교,경상남도
장명초등학교,경기도
서면초등학교,충청남도
이리신동초등학교,전북특별자치도
주학초등학교,부산광역시
서울용두초등학교,서울특별시
인천신촌초등학교,인천광역시
서울난우초등학교,서울특별시
정미초등학교,충청남도
남부민초등학교,부산광역시
해강초등학교,부산광역시
서울정릉초등학교,서울특별시
안산진흥초등학교,경기도
강당초등학교,충청남도
인천만수초등학교,인천광역시
서울대동초등학교,서울특별시
향남초등학교,경기도
목포한빛초등학교,전라남도
사상초등학교,부산광역시
광양중앙초등학교,전라남도
성동초등학교,충청남도
대구초등학교,전라남도
목포이로초등학교,전라남도
서울원명초등학교,서울특별시
양산초등학교,경기도
양서초등학교,경기도
파천초등학교,경상북도
옹동초등학교,전북특별자치도
황성초등학교,경상북도
대구장동초등학교,대구광역시
서울버들초등학교,서울특별시
신지동초등학교,전라남도
삼계초등학교,경상남도
원천초등학교,강원특별자치도
해보초등학교,전라남도
인주초등학교,충청남도
오갑초등학교,충청북도
오동초등학교,강원특별자치도
복내초등학교,전라남도
서산초등학교,충청남도
서울당중초등학교,서울특별시
양덕초등학교,경상남도
서울도림초등학교,서울특별시
본오초등학교,경기도
목포신흥초등학교,전라남도
인천발산초등학교,인천광역시
수원매화초등학교,경기도
서울전곡초등학교,서울특별시
충주남산초등학교,충청북도
인천삼목초등학교장봉분교장,인천광역시
실내초등학교,강원특별자치도
인천대정초등학교,인천광역시
고경초등학교,경상북도
서울숭곡초등학교,서울특별시
소라초등학교소라남분교장,전라남도
원평초등학교,경상남도
대구월배초등학교,대구광역시
김해부곡초등학교,경상남도
충무초등학교,경상남도
길주초등학교,경상북도
화북초등학교입석분교장,경상북도
수정초등학교,충청북도
풍광초등학교,충청북도
서울삼선초등학교,서울특별시
창천초등학교,제주특별자치도
늘봄초등학교,세종특별자치시
해제남초등학교,전라남도
백구초등학교,전북특별자치도
모락초등학교,경기도
모전초등학교,경상북도
도암초등학교,전라남도
파장초등학교,경기도
서울금동초등학교,서울특별시
세도초등학교,충청남도
황등남초등학교,전북특별자치도
백록초등학교,제주특별자치도
줄포초등학교,전북특별자치도
이백초등학교,전북특별자치도
숙지초등학교,경기도
봉계초등학교,경상북도
대전신흥초등학교,대전광역시
만안초등학교,경기도
능주초등학교,전라남도
감천초등학교,부산광역시
비금동초등학교,전라남도
통영초등학교,경상남도
동방초등학교,경상북도
